사용본거지법정동명,연료,200912 승용 비사업용,200912 승용 사업용,200912 승합 비사업용,200912 승합 사업용,200912 특수 비사업용,200912 특수 사업용,200912 화물 비사업용,200912 화물 사업용,201012 승용 비사업용,201012 승용 사업용,201012 승합 비사업용,201012 승합 사업용,201012 특수 비사업용,201012 특수 사업용,201012 화물 비사업용,201012 화물 사업용,201112 승용 비사업용,201112 승용 사업용,201112 승합 비사업용,201112 승합 사업용,201112 특수 비사업용,201112 특수 사업용,201112 화물 비사업용,201112 화물 사업용,201212 승용 비사업용,201212 승용 사업용,201212 승합 비사업용,201212 승합 사업용,201212 특수 비사업용,201212 특수 사업용,201212 화물 비사업용,201212 화물 사업용,201312 승용 비사업용,201312 승용 사업용,201312 승합 비사업용,201312 승합 사업용,201312 특수 비사업용,201312 특수 사업용,201312 화물 비사업용,201312 화물 사업용,201412 승용 비사업용,201412 승용 사업용,201412 승합 비사업용,201412 승합 사업용,201412 특수 비사업용,201412 특수 사업용,201412 화물 비사업용,201412 화물 사업용,201512 승용 비사업용,201512 승용 사업용,201512 승합 비사업용,201512 승합 사업용,201512 특수 비사업용,201512 특수 사업용,201512 화물 비사업용,201512 화물 사업용,201612 승용 비사업용,201612 승용 사업용,201612 승합 비사업용,201612 승합 사업용,201612 특수 비사업용,201612 특수 사업용,201612 화물 비사업용,201612 화물 사업용,201712 승용 비사업용,201712 승용 사업용,201712 승합 비사업용,201712 승합 사업용,201712 특수 비사업용,201712 특수 사업용,201712 화물 비사업용,201712 화물 사업용,201812 승용 비사업용,201812 승용 사업용,201812 승합 비사업용,201812 승합 사업용,201812 특수 비사업용,201812 특수 사업용,201812 화물 비사업용,201812 화물 사업용
서울특별시 영등포구 영등포동3가,기타연료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,
서울특별시 영등포구 영등포동3가,엘피지,14,,5,,,,5,,12,,11,,,,15,,16,,10,,,,10,,16,,9,,,,10,,18,,8,,,,9,,17,,8,,,,8,,20,,9,,,,9,1,15,,7,,,,11,1,17,,6,,,,9,1,25,,15,,,,17,
서울특별시 영등포구 영등포동3가,하이브리드(휘발유+전기),,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,3,,,,,,,
서울특별시 영등포구 영등포동3가,휘발유,42,,,,,,1,,48,,,,,,1,,53,,,,,,1,,59,,,,,,1,,56,,,,,,,,54,,,,,,,,82,,,,,,,,78,,,,,,,,75,,,,,,,,89,,,,,,,
서울특별시 영등포구 영등포동3가,휘발유(무연),71,,1,,,,,,71,,1,,,,,,66,,1,,,,,,81,,1,,,,,,74,,1,,,,,,87,,1,,,,,,86,,,,,,,,97,,1,,,,,,81,,1,,,,,,153,,2,,,,,
서울특별시 영등포구 영등포동4가,경유,34,,18,,6,,59,,29,,17,,6,,61,,33,,17,,6,,59,,32,,19,,5,,56,1,63,,19,,6,,51,1,69,4,24,1,7,,52,1,87,4,23,1,7,,52,,107,2,28,,9,,44,,104,1,31,,6,,48,,102,1,29,,6,,46,
서울특별시 영등포구 영등포동4가,기타연료,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,1,,1,,,,,,1,,1,,,,,,1,,,,,,,,1,,,,1,,,,1,,,,1,
서울특별시 영등포구 영등포동4가,엘피지,11,,8,,,,8,1,11,,7,,,,7,1,9,,8,,,,5,1,8,,5,,,,5,1,19,,5,,,,7,1,20,45,4,,,,7,1,17,45,5,,,,9,1,17,37,8,,,,3,1,15,44,6,,,,6,1,17,59,5,,,,5,1
서울특별시 영등포구 영등포동4가,전기,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,2,,,,,,,,3,,,,,,,,5,,,,,,,
서울특별시 영등포구 영등포동4가,하이브리드(LPG+전기),,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
